date_core,time_core,nivel_log,origen,user_id,ip_address,transaction_id,tipo,cuenta,estado,valor
2025-05-13,08:00:10,INFO,mobile,user65,198.81.20.19,txn-0000,consignar,ahorros,Completada,429947.36
2025-05-13,08:00:11,INFO,mobile,user94,92.100.49.61,txn-0001,retirar,ahorros,Completada,1466275.85
2025-05-13,08:00:12,INFO,mobile,user93,35.10.214.169,txn-0002,transferir,ahorros,Completada,3764977.62
2025-05-13,08:00:13,INFO,api,user39,155.165.170.170,txn-0003,transferir,corriente,Completada,4780695.73
2025-05-13,08:00:14,INFO,mobile,user88,137.102.49.12,txn-0004,transferir,ahorros,Completada,3808884.49
2025-05-13,08:00:15,INFO,mobile,user92,125.126.156.72,txn-0005,retirar,ahorros,Completada,3744519.61
2025-05-13,08:00:16,INFO,mobile,user37,183.205.52.219,txn-0006,consignar,corriente,Completada,3576866.89
2025-05-13,08:00:17,INFO,mobile,user49,26.46.150.120,txn-0007,consignar,corriente,Completada,1445980.53
2025-05-13,08:00:18,INFO,mobile,user34,180.91.122.212,txn-0008,consignar,ahorros,Completada,3057736.85
2025-05-13,08:00:19,INFO,api,user58,208.65.106.126,txn-0009,retirar,corriente,Completada,4642897.07
2025-05-13,08:00:20,INFO,mobile,user40,176.10.163.171,txn-0010,retirar,corriente,Completada,982350.4
2025-05-13,08:00:21,INFO,mobile,user2,184.94.171.22,txn-0011,transferir,ahorros,Completada,28445.61
2025-05-13,08:00:22,INFO,web,user59,213.39.242.242,txn-0012,transferir,corriente,Completada,3554222.54
2025-05-13,08:00:23,INFO,mobile,user24,25.227.129.2,txn-0013,retirar,corriente,Completada,3718731.89
2025-05-13,08:00:25,INFO,mobile,user32,91.135.65.36,txn-0015,consignar,ahorros,Completada,4465745.22
2025-05-13,08:00:26,INFO,mobile,user82,207.24.6.89,txn-0016,transferir,ahorros,Completada,3291061.31
2025-05-13,08:00:27,INFO,web,user84,215.137.98.25,txn-0017,consignar,corriente,Completada,3968892.7
2025-05-13,08:00:28,INFO,mobile,user76,80.28.145.241,txn-0018,consignar,corriente,Completada,1249879.22
